frame_idx,track_id,face_detected,face_conf,face_x1,face_y1,face_x2,face_y2,raw_gaze_detected,raw_inout,raw_x_gaze,raw_y_gaze,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
109,1,True,0.9965799450874329,384,257,438,340,True,0.984460175037384,926,278,True,0.9870250463485718,924,278,,,
109,2,True,0.9946626424789429,917,262,970,341,True,0.992514431476593,410,278,True,0.9852944493293763,409,278,,,
110,1,True,0.99642413854599,385,257,438,340,True,0.9856195449829102,924,279,True,0.9862289786338806,923,278,,,
110,2,True,0.9943008422851562,917,263,969,342,True,0.9940599203109741,410,278,True,0.9901005387306213,410,278,,,
111,1,True,0.9964148998260498,386,258,439,341,True,0.9890843033790588,921,277,True,0.9849068880081177,920,278,,,
111,2,True,0.9939058423042297,917,263,968,342,True,0.9947816729545593,411,278,True,0.9944477319717407,411,278,,,
112,1,True,0.996421217918396,387,258,440,341,True,0.9848694801330566,920,278,True,0.9809823274612427,917,278,,,
112,2,True,0.993567168712616,917,263,967,342,True,0.9950959086418152,413,279,True,0.9951593518257141,410,279,,,
113,1,True,0.9963282942771912,388,259,440,342,True,0.9805009365081787,918,279,True,0.9752109050750732,918,279,,,
113,2,True,0.9936262369155884,916,263,967,342,True,0.995786726474762,412,280,True,0.995350432395935,411,280,,,
114,1,True,0.9965885877609253,389,260,440,344,True,0.964837372303009,916,279,True,0.965102243423462,917,279,,,
114,2,True,0.9935892820358276,916,263,967,342,True,0.99607253074646,413,281,True,0.9953360199928284,412,281,,,
115,1,True,0.9964548349380493,389,260,441,344,True,0.956762433052063,917,277,True,0.9566821575164794,917,278,,,
115,2,True,0.993516206741333,916,264,967,342,True,0.9950153231620789,411,281,True,0.9953307390213013,411,281,,,
116,1,True,0.9962869882583618,389,261,442,346,True,0.9385409951210022,921,279,True,0.948736596107483,920,278,,,
116,2,True,0.9931839108467102,917,264,967,342,True,0.9947096109390259,413,283,True,0.9936619281768799,411,282,,,
117,1,True,0.9966772794723511,389,262,442,346,True,0.9427690505981445,613,435,True,0.9455325245857239,924,279,,,
117,2,True,0.9929983615875244,917,264,968,342,True,0.9950695037841797,412,283,True,0.9911813735961914,413,282,,,
118,1,True,0.9971839785575867,390,262,444,346,True,0.9407731294631958,615,440,True,0.9473757982254029,614,441,,,
118,2,True,0.9924823641777039,918,263,969,342,True,0.987442672252655,413,281,True,0.9863830804824829,415,282,,,
119,1,True,0.997596800327301,391,262,445,347,True,0.9488170146942139,925,281,True,0.954780662059784,614,442,,,
119,2,True,0.9940527081489563,918,262,969,343,True,0.9836697578430176,414,282,True,0.9799846529960632,415,282,,,
120,1,True,0.9977467656135559,392,262,446,347,True,0.9659788012504578,614,447,True,0.9638945698738098,615,443,,,
120,2,True,0.9949786067008972,919,262,970,344,True,0.9710238575935364,416,283,True,0.9694998145103455,420,283,,,
121,1,True,0.9980711340904236,393,262,447,348,True,0.9755653142929077,615,443,True,0.9711601495742798,615,447,,,
121,2,True,0.9956830739974976,919,262,971,344,True,0.9627174735069275,422,283,True,0.9598386883735657,422,283,,,
122,1,True,0.9982414245605469,394,262,448,348,True,0.9883385896682739,618,447,True,0.9774230122566223,614,448,,,
